state,city,total_records,anomalies,avg_score,anomaly_rate_percent
Ladakh,Leh,264840,145949,0.7412201053164967,55.10836731611539
Ladakh,Kargil,264840,87886,0.5169618180034663,33.184564265216736
Tamil_Nadu,Ooty,264840,56564,0.4176173897637159,21.35780093641444
Himachal_Pradesh,Shimla,264840,43131,0.4015216551983983,16.285681921159945
Jammu_Kashmir,Srinagar,264840,33168,0.32482721624045385,12.523787947439963
Jammu_Kashmir,Baramulla,264840,29562,0.31407926013044857,11.162211146352515
Jammu_Kashmir,Anantnag,264840,28761,0.3085149337594691,10.859764386044404
Andaman_Nicobar,Car_Nicobar,264840,27089,0.2847758540929671,10.228439812717111
Andaman_Nicobar,Port_Blair,264840,24013,0.2732246561437849,9.0669838392992
Meghalaya,Jowai,264840,18548,0.2521562877357034,7.003473795499169
Arunachal_Pradesh,Bomdila,264840,17813,0.3300331887304165,6.7259477420329254
Lakshadweep,Kavaratti,264840,17124,0.26562409620809396,6.465790666062528
Himachal_Pradesh,Solan,264840,15964,0.27388319211812223,6.027790363993354
Karnataka,Chikkamagaluru,264840,15798,0.2836781093415764,5.965111010421387
Uttarakhand,Nainital,264840,15171,0.2629570101274464,5.728364295423652
Himachal_Pradesh,Kullu,264840,14899,0.25014872518749015,5.625660776317777
West_Bengal,Darjeeling,264840,13936,0.2711828398660905,5.262045008306902
Sikkim,Gangtok,264840,12959,0.2335359310298886,4.893143029753814
Karnataka,Bengaluru,264840,11936,0.30388927417842243,4.506872073704878
Uttarakhand,Almora,264840,11469,0.23381894928268765,4.330539193475306
Kerala,Idukki,264840,11006,0.25629495592427465,4.155716659114937
Meghalaya,Shillong,264840,10576,0.20651408517477646,3.9933544781755024
Meghalaya,Cherrapunji,264840,9033,0.21707543011049768,3.4107385591300408
Sikkim,Namchi,264840,8843,0.215821675853282,3.338997130342849
Rajasthan,Barmer,264840,8744,0.22090244980542179,3.301616070080048
Rajasthan,Bikaner,264840,8709,0.23341770615934263,3.288400543724513
Nagaland,Kohima,264840,8355,0.20720000782898618,3.1547349342999547
Sikkim,Mangan,264840,8036,0.21471286950117732,3.034284851230932
Haryana,Ambala,264840,7969,0.20673563451760876,3.008986557921764
Himachal_Pradesh,Dharamsala,264840,7725,0.2219550526657582,2.9168554599003174
Odisha,Koraput,264840,7580,0.23245176340783003,2.8621054221416706
Punjab,Jalandhar,264840,7146,0.20342670564246224,2.6982328953330312
Punjab,Patiala,264840,6811,0.1977264112026412,2.5717414287871923
Jammu_Kashmir,Kathua,264840,6610,0.20065379939418326,2.4958465488596886
Karnataka,Dharwad,264840,6427,0.2514831008591825,2.4267482253436037
Punjab,Ludhiana,264840,6337,0.1995701474251986,2.3927654432865126
Punjab,Amritsar,264840,6096,0.20043682550613276,2.3017671046669688
Haryana,Karnal,264840,6078,0.18917454560424407,2.2949705482555505
Puducherry,Karaikal,264840,5963,0.18967966799648353,2.2515481045159342
Chandigarh,Chandigarh,264840,5564,0.19607611341175502,2.1008911040628306
Jammu_Kashmir,Jammu,264840,5494,0.19532784858989768,2.0744600513517595
Mizoram,Champhai,264840,5438,0.1644063725862717,2.053315209182903
Punjab,Gurdaspur,264840,5278,0.19611450949079973,1.992901374414741
Goa,Vasco,264840,4729,0.18717743756009741,1.7856064038664854
Uttar_Pradesh,Meerut,264840,4604,0.178252279541078,1.738408095453859
Punjab,Bathinda,264840,4490,0.18945772117118562,1.6953632381815438
Jharkhand,Hazaribagh,264840,4357,0.20203832788098247,1.645144238030509
Himachal_Pradesh,Mandi,264840,4265,0.19398923816099836,1.610406283038816
Jharkhand,Ranchi,264840,4154,0.20026762385559735,1.5684941851684036
Uttar_Pradesh,Bareilly,264840,4146,0.17108178372249397,1.5654734934299954
Nagaland,Mokokchung,264840,4054,0.186063482132099,1.5307355384383023
Haryana,Rohtak,264840,4012,0.17652348942201368,1.5148769068116599
Delhi,Delhi_North,264840,4009,0.1753769313694268,1.5137441474097568
Delhi,New_Delhi,264840,3997,0.17582268575957558,1.5092131098021446
Uttarakhand,Roorkee,264840,3788,0.17926738085129476,1.430297538136233
Haryana,Hisar,264840,3714,0.1792195368092165,1.4023561395559583
Rajasthan,Ganganagar,264840,3641,0.19296011975199856,1.3747923274429843
Haryana,Sirsa,264840,3622,0.18143863632576537,1.3676181845642652
Rajasthan,Jodhpur,264840,3388,0.18995834050706162,1.2792629512158284
Bihar,Darbhanga,264840,3313,0.1701468441011471,1.2509439661682524
Puducherry,Puducherry,264840,3307,0.18090728665841943,1.2486784473644466
Bihar,Muzaffarpur,264840,3183,0.1675143975971753,1.201857725419121
Mizoram,Aizawl,264840,3141,0.14691814049063584,1.1859990937924785
Karnataka,Hubballi,264840,3115,0.21824228587636763,1.1761818456426523
Uttarakhand,Dehradun,264840,3023,0.18141037640413193,1.141443890650959
Gujarat,Surat,264840,2894,0.15814546715092243,1.0927352363691285
West_Bengal,Cooch_Behar,264840,2881,0.15362614998651827,1.0878266122942155
Uttar_Pradesh,Gorakhpur,264840,2853,0.16405400429081934,1.077254191209787
Karnataka,Mysuru,264840,2812,0.2363517051387449,1.0617731460504456
Uttar_Pradesh,Lucknow,264840,2806,0.16272191366158512,1.0595076272466395
Andhra_Pradesh,Kakinada,264840,2699,0.17609677407161456,1.0191058752454312
Uttar_Pradesh,Agra,264840,2661,0.16605196031526998,1.0047575894879928
Tamil_Nadu,Chennai,264840,2619,0.1732161249908541,0.9888989578613502
Bihar,Patna,264840,2558,0.1607627594543517,0.9658661833559885
Manipur,Churachandpur,264840,2493,0.16321946387761516,0.9413230629814227
Uttar_Pradesh,Kanpur,264840,2393,0.1618765396757333,0.9035644162513216
Maharashtra,Solapur,264840,2349,0.21846863569380495,0.8869506116900769
Assam,Silchar,264840,2323,0.17355339074322193,0.8771333635402507
Assam,Guwahati,264840,2297,0.16577120661101988,0.8673161153904244
Uttarakhand,Haridwar,264840,2281,0.16465856900749812,0.8612747319136083
West_Bengal,Siliguri,264840,2249,0.16628982362840583,0.8491919649599758
Rajasthan,Ajmer,264840,2098,0.18181141113627436,0.7921764083975231
Kerala,Thiruvananthapuram,264840,2096,0.2175027528164594,0.791421235462921
Mizoram,Lunglei,264840,2067,0.1423068068727847,0.7804712279111917
Bihar,Purnia,264840,2025,0.15166038129893217,0.7646125962845491
Assam,Tezpur,264840,2013,0.15943514659657,0.760081558676937
Andhra_Pradesh,Visakhapatnam,264840,1995,0.1649395694423618,0.7532850022655189
Uttar_Pradesh,Allahabad,264840,1955,0.1585170850545605,0.7381815435734783
Chhattisgarh,Ambikapur,264840,1944,0.1783026170026314,0.7340280924331672
Maharashtra,Nashik,264840,1939,0.18880410533250153,0.732140160096662
Arunachal_Pradesh,Pasighat,264840,1936,0.19591650940963715,0.7310074006947591
West_Bengal,Murshidabad,264840,1874,0.14418553394007136,0.7075970397220963
Rajasthan,Udaipur,264840,1860,0.17019592033019557,0.7023108291798822
Tripura,Agartala,264840,1855,0.13781894861253702,0.7004228968433771
West_Bengal,Asansol,264840,1815,0.14980556443141405,0.6853194381513367
Assam,Nagaon,264840,1781,0.15718331070117922,0.6724814982631022
Assam,Jorhat,264840,1774,0.16276979126562718,0.6698383929919951
Uttar_Pradesh,Varanasi,264840,1769,0.15641380406320796,0.6679504606554901
Tripura,Dharmanagar,264840,1749,0.14368166688442266,0.6603987313094699
Bihar,Bhagalpur,264840,1734,0.1473245648416863,0.6547349342999548
Jharkhand,Dhanbad,264840,1729,0.15332127683311847,0.6528470019634496
Kerala,Thrissur,264840,1694,0.186132093256678,0.6396314756079142
Rajasthan,Jaipur,264840,1684,0.1721134616081585,0.6358556109349041
Tripura,Udaipur_TR,264840,1667,0.13353588075360517,0.6294366409907869
West_Bengal,Durgapur,264840,1661,0.14682430638496602,0.6271711221869808
West_Bengal,Kolkata,264840,1638,0.14157529382102252,0.6184866334390576
Gujarat,Bhavnagar,264840,1588,0.13880000608853837,0.5996073100740069
West_Bengal,Midnapore,264840,1548,0.147652431192864,0.5845038513819665
Madhya_Pradesh,Gwalior,264840,1535,0.16384120089052145,0.5795952273070534
Gujarat,Ahmedabad,264840,1530,0.13926634161931165,0.5777072949705483
Telangana,Hyderabad,264840,1514,0.2057687032471798,0.571665911493732
Chhattisgarh,Jagdalpur,264840,1485,0.1637458893718211,0.5607159039420028
Odisha,Berhampur,264840,1468,0.16813904394156093,0.5542969339978855
Assam,Dibrugarh,264840,1463,0.17371449074269218,0.5524090016613805
Odisha,Sambalpur,264840,1428,0.14931270293779111,0.539193475305845
Jharkhand,Bokaro,264840,1411,0.15162384160870715,0.5327745053617278
Maharashtra,Kolhapur,264840,1404,0.1950848416534266,0.5301314000906208
Chhattisgarh,Bilaspur,264840,1395,0.15984475521053768,0.5267331218849117
Daman_Diu,Daman,264840,1372,0.1423945582725151,0.5180486331369883
Odisha,Rourkela,264840,1370,0.1547756823776616,0.5172934602023863
Karnataka,Shivamogga,264840,1350,0.19101145577645448,0.5097417308563661
Jharkhand,Jamshedpur,264840,1349,0.15261114165902395,0.5093641443890651
Odisha,Bhubaneswar,264840,1313,0.152820163540748,0.4957710315662287
Bihar,Gaya,264840,1299,0.15189200191605232,0.4904848210240145
Tamil_Nadu,Thanjavur,264840,1298,0.17260292201997546,0.4901072345567135
Madhya_Pradesh,Indore,264840,1289,0.1830488293341576,0.4867089563510044
Odisha,Cuttack,264840,1281,0.1543832252492267,0.48368826461259623
Madhya_Pradesh,Sagar,264840,1279,0.1776063697895945,0.48293309167799425
Meghalaya,Tura,264840,1257,0.1359095226905796,0.47462618939737194
Nagaland,Dimapur,264840,1255,0.1534609526689824,0.47387101646276997
Kerala,Wayanad,264840,1209,0.1760597488521889,0.4565020389669234
Kerala,Kozhikode,264840,1191,0.2017454358712468,0.4497054825555052
Manipur,Thoubal,264840,1188,0.18153291624497206,0.44857272315360214
Kerala,Kochi,264840,1182,0.18280311934201254,0.4463072043497961
Manipur,Imphal,264840,1164,0.17685016738668818,0.43951064793837785
Gujarat,Rajkot,264840,1149,0.12679219895018465,0.43384685092886266
Madhya_Pradesh,Rewa,264840,1145,0.15927537644774845,0.4323365050596587
Tamil_Nadu,Madurai,264840,1140,0.19503668796402054,0.43044857272315357
Arunachal_Pradesh,Itanagar,264840,1140,0.17589304981669912,0.43044857272315357
Rajasthan,Kota,264840,1138,0.16075123419332843,0.4296933997885516
Uttar_Pradesh,Jhansi,264840,1131,0.16022237370697703,0.4270502945174445
Maharashtra,Pune,264840,1100,0.17231208938663342,0.4153451140311131
Chhattisgarh,Raipur,264840,1068,0.1527409679775215,0.4032623470774807
Tamil_Nadu,Salem,264840,1006,0.1672845506804852,0.379851986104818
Andhra_Pradesh,Nellore,264840,983,0.17287231559781302,0.3711674973568947
Gujarat,Junagadh,264840,977,0.1274354765883726,0.36890197855308865
