hour,total_records,anomalies,avg_score,anomaly_rate_percent
0,1920090,37580,0.2029947694806197,1.9571999229202799
1,1920090,41532,0.21488836303919953,2.1630236082683623
2,1920090,40699,0.2102998063550959,2.1196402251977773
3,1920090,39324,0.18899709949767834,2.0480289986406888
4,1920090,32853,0.17096034108127223,1.71101354624002
5,1920090,34153,0.16623281922216437,1.7787187058939946
6,1920090,45838,0.17756220109061652,2.387283929399143
7,1920090,89050,0.22043876641354426,4.637803436297257
8,1920090,107431,0.2578998416630958,5.595102312912416
9,1920090,76713,0.24537890774753876,3.9952814711810385
10,1920090,60123,0.21801116005600035,3.1312594722122404
11,1920090,56948,0.2031498711346317,2.965902639980418
12,1920090,62080,0.20385905599569729,3.2331817779374923
13,1920090,57495,0.19876710318480142,2.9943908879271284
14,1920090,47452,0.18747666043350805,2.4713424891541544
15,1920090,41256,0.18241102738705703,2.1486492820649032
16,1920090,26562,0.16828583471938358,1.3833726544068246
17,1920090,25341,0.17060240181143904,1.31978188522413
18,1920090,22200,0.17203878411464593,1.1561958033217195
19,1920090,21475,0.17521407435122252,1.118437156591618
20,1920090,21065,0.16877399303352977,1.0970839908545953
21,1920090,19965,0.15720966029648153,1.0397950096089246
22,1920090,21576,0.15729682504014608,1.1236973266878116
23,1920090,27580,0.17933317563752849,1.436391002505091
