month,total_records,anomalies,avg_score,anomaly_rate_percent
1,4013136,128301,0.0005703375705959747,3.197025966725274
2,3658176,77164,0.0004901363027323894,2.109357231582078
3,3958848,29788,0.0003796526215416708,0.7524411141827118
4,3758400,17419,0.0003276613279327268,0.4634684972328651
5,3883680,24469,0.00031039837410767434,0.6300467597742347
6,3758400,28143,0.0003132306453687438,0.7488026819923371
7,3883680,23051,0.00030050818269013033,0.5935349977341078
8,3883680,18525,0.00028675674567996855,0.47699604498825854
9,3758400,6868,0.0002569688948459586,0.1827373350361856
10,3883680,2619,0.0002722979289604641,0.06743604004449388
11,3758400,18807,0.00035206319389073106,0.5003991060025543
12,3883680,85128,0.0004988668195476406,2.191941663576814
