state,total_records,anomalies,avg_score,anomaly_rate_percent
Ladakh,529680,233835,0.6290909616599815,44.14646579066606
Andaman_Nicobar,529680,51102,0.27900025511837595,9.647711826008155
Jammu_Kashmir,1324200,103595,0.26868061162289053,7.823214016009667
Himachal_Pradesh,1324200,85984,0.26829957266615345,6.493278960882042
Lakshadweep,264840,17124,0.26562409620809396,6.465790666062528
Sikkim,794520,29838,0.2213568254614493,3.7554750037758646
Meghalaya,1059360,39414,0.2029138314278893,3.720548255550521
Tamil_Nadu,2118720,64943,0.20493452616730706,3.065199743241202
Uttarakhand,1324200,35732,0.20442245713461177,2.698383929919952
Arunachal_Pradesh,794520,20889,0.2339475826522509,2.6291345718169463
Punjab,1589040,36158,0.19778872007307002,2.275461914111665
Chandigarh,264840,5564,0.19607611341175502,2.1008911040628306
Karnataka,2118720,43022,0.23107087877359386,2.030565624528017
Haryana,1324200,25395,0.18661836853576969,1.9177616674218394
Puducherry,529680,9270,0.18529347732745147,1.75011327594019
Nagaland,794520,13664,0.1822414808766892,1.7197804964003423
Delhi,529680,8006,0.17559980856450122,1.5114786286059507
Rajasthan,2118720,31262,0.1902638304364727,1.4755135175955294
Mizoram,794520,10646,0.15121043998323075,1.3399285102955243
West_Bengal,2118720,27602,0.16514274290641906,1.3027677088053164
Kerala,1853880,19265,0.20196532990567373,1.039171898936285
Uttar_Pradesh,2383560,24318,0.16435463822574725,1.0202386346473342
Jharkhand,1324200,13000,0.17197244236748588,0.981724814982631
Odisha,1589040,14440,0.1686470969091364,0.9087247646377687
Bihar,1589040,14112,0.15821682486822417,0.88808337109198
Goa,794520,5974,0.16808325161980742,0.7519005185520818
Assam,1589040,11651,0.16540455611005173,0.7332099884206817
Tripura,794520,5271,0.1383454987501883,0.6634194230478779
Manipur,794520,4845,0.17386751583642512,0.6098021446911343
Gujarat,1853880,9880,0.13543106361104434,0.5329363281334283
Daman_Diu,264840,1372,0.1423945582725151,0.5180486331369883
Chhattisgarh,1324200,6849,0.16099255387194744,0.5172179429089261
Andhra_Pradesh,1589040,7875,0.17302540037920475,0.49558223833257814
Maharashtra,2383560,10645,0.17321668127123374,0.44660088271325243
Madhya_Pradesh,1853880,7989,0.16895054501769324,0.43093404103825494
Telangana,1589040,5145,0.17620096578452557,0.32378039571061773
Dadra_Nagar_Haveli,264840,615,0.12072386349672935,0.23221567739012233
